[2023-02-02T09:40:59.975] [info] non-service runs
[2023-02-02T09:40:59.989] [info] service runs: .\sys-service-scaffolding.exe -s install
[2023-02-02T09:41:07.887] [info] non-service runs
[2023-02-02T09:41:07.899] [info] service runs: .\sys-service-scaffolding.exe -s install
[2023-02-02T09:41:20.365] [info] non-service runs
[2023-02-02T09:41:20.378] [info] service runs: .\sys-service-scaffolding.exe -s install
[2023-02-02T09:41:34.917] [info] non-service runs
[2023-02-02T09:41:34.929] [info] service runs: .\sys-service-scaffolding.exe -s install
[2023-02-02T09:41:35.151] [info] 2023-02-02 09:41:35.1512449 +0800 CST m=+0.239070601
[2023-02-02T09:41:35.153] [error] 2023-02-02 09:41:35.153031 +0800 CST m=+0.240856701Error
[2023-02-02T09:41:35.297] [info] 2023-02-02 09:41:35.2972167 +0800 CST m=+0.385042401
[2023-02-02T09:41:35.297] [error] 2023-02-02 09:41:35.297674 +0800 CST m=+0.385499701Error
[2023-02-02T09:41:43.506] [info] non-service runs
[2023-02-02T09:41:43.522] [info] service runs: .\sys-service-scaffolding.exe -s install
[2023-02-02T09:41:43.709] [info] 2023-02-02 09:41:43.7091075 +0800 CST m=+0.206850701
[2023-02-02T09:41:43.709] [error] 2023-02-02 09:41:43.7091075 +0800 CST m=+0.206850701Error
[2023-02-02T09:41:43.810] [info] 2023-02-02 09:41:43.8105306 +0800 CST m=+0.308273801
[2023-02-02T09:41:43.811] [error] 2023-02-02 09:41:43.8113648 +0800 CST m=+0.309108001Error
[2023-02-02T09:41:48.726] [info] 2023-02-02 09:41:48.7265697 +0800 CST m=+5.224312901
[2023-02-02T09:41:48.727] [error] 2023-02-02 09:41:48.7271377 +0800 CST m=+5.224880901Error
[2023-02-02T09:41:48.753] [info] 2023-02-02 09:41:48.7530668 +0800 CST m=+5.250810001
[2023-02-02T09:41:48.757] [error] 2023-02-02 09:41:48.7576006 +0800 CST m=+5.255343801Error
[2023-02-02T09:41:49.208] [info] 2023-02-02 09:41:49.2084417 +0800 CST m=+5.706184901
